movie,year,imdb,metascore,votes,genres,descriptions,n_imdb,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War
Avengers: Infinity War,2018,8.4,68,929017,"Action, Adventure, Sci-Fi",The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,84.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Black Panther,2018,7.3,88,679218,"Action, Adventure, Sci-Fi","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",73.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Deadpool 2,2018,7.7,66,519971,"Action, Adventure, Comedy","Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",77.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bohemian Rhapsody,2018,7.9,49,489323,"Biography, Drama, Music","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).",79.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
A Quiet Place,2018,7.5,82,482361,"Drama, Horror, Sci-Fi","In a post-apocalyptic world, a family is forced to live in silence while hiding from monsters with ultra-sensitive hearing.",75.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Spider-Man: Into the Spider-Verse,2018,8.4,87,430396,"Animation, Action, Adventure","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",84.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Book,2018,8.2,69,428961,"Biography, Comedy, Drama",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,82.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aquaman,2018,6.9,55,417440,"Action, Adventure, Fantasy","Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.",69.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Venom,2018,6.7,35,411426,"Action, Adventure, Sci-Fi","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",67.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ready Player One,2018,7.4,64,398766,"Action, Adventure, Sci-Fi","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",74.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A Star Is Born,2018,7.6,88,356846,"Drama, Music, Romance",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,76.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Ant-Man and the Wasp,2018,7.0,70,347014,"Action, Adventure, Comedy","As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.",70.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solo: A Star Wars Story,2018,6.9,62,313777,"Action, Adventure, Sci-Fi","Board the Millennium Falcon and journey to a galaxy far, far away in an epic action-adventure that will set the course of one of the Star Wars saga's most unlikely heroes.",69.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mission: Impossible - Fallout,2018,7.7,86,308846,"Action, Adventure, Thriller","Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",77.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bird Box,2018,6.6,51,305274,"Horror, Sci-Fi","Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.",66.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Annihilation,2018,6.8,79,298909,"Adventure, Drama, Horror","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",68.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Jurassic World: Fallen Kingdom,2018,6.2,51,283928,"Action, Adventure, Sci-Fi","When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",62.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Hereditary,2018,7.3,87,270351,"Drama, Horror, Mystery",A grieving family is haunted by tragic and disturbing occurrences.,73.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
Incredibles 2,2018,7.6,80,269883,"Animation, Action, Adventure",The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,76.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BlacKkKlansman,2018,7.5,83,242394,"Biography, Comedy, Crime","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual events.",75.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fantastic Beasts: The Crimes of Grindelwald,2018,6.5,52,239516,"Adventure, Family, Fantasy","The second installment of the ""Fantastic Beasts"" series featuring the adventures of Magizoologist Newt Scamander.",65.0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Game Night,2018,6.9,66,220233,"Action, Comedy, Crime",A group of friends who meet regularly for game nights find themselves entangled in a real-life mystery when the shady brother of one of them is seemingly kidnapped by dangerous gangsters.,69.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomb Raider,2018,6.3,48,203095,"Action, Adventure, Fantasy","Lara Croft (Alicia Vikander), the fiercely independent daughter of a missing adventurer, must push herself beyond her limits when she discovers the island where her father, Lord Richard Croft (Dominic West) disappeared.",63.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ocean's Eight,2018,6.3,61,201931,"Action, Comedy, Crime",Debbie Ocean gathers an all-female crew to attempt an impossible heist at New York City's yearly Met Gala.,63.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Favourite,2018,7.5,91,185476,"Biography, Comedy, Drama","In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.",75.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
