movie,year,imdb,metascore,votes,genres,descriptions,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,Western
Dune,2021,8.4,75,52220,"Action, Adventure, Drama","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Shang-Chi and the Legend of the Ten Rings,2021,7.9,71,93550,"Action, Adventure, Fantasy","Shang-Chi, the master of weaponry-based Kung Fu, is forced to confront his past after being drawn into the Ten Rings organization.",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Free Guy,2021,7.4,62,87868,"Action, Adventure, Comedy","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cry Macho,2021,5.8,59,9194,"Drama, Thriller, Western","A one-time rodeo star and washed-up horse breeder takes a job to bring a man's young son home and away from his alcoholic mom. On their journey, the horseman finds redemption through teaching the boy what it means to be a good man.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
Malignant,2021,6.3,51,42028,"Crime, Horror, Mystery","Madison is paralyzed by shocking visions of grisly murders, and her torment worsens as she discovers that these waking dreams are in fact terrifying realities.",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
The Many Saints of Newark,2021,7.3,66,2043,"Crime, Drama",A look at the formative years of New Jersey gangster Tony Soprano.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Old,2021,5.8,55,41189,"Drama, Horror, Mystery","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Candyman,2021,6.0,72,28976,"Horror, Thriller",A sequel to the horror film Candyman (1992) that returns to the now-gentrified Chicago neighborhood where the legend began.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Kate,2021,6.3,47,33073,"Action, Adventure, Crime",A female assassin has 24 hours to get vengeance on her murderer before she dies.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
No Time to Die,2021,8.1,75,448,"Action, Adventure, Thriller","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Intrusion,2021,5.1,39,4818,"Drama, Thriller","A woman moves to a small town with her husband, but is rattled when she is targeted for a home invasion.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Dear Evan Hansen,2021,6.1,39,3242,"Drama, Musical","Film adaptation of the Tony and Grammy Award-winning musical about Evan Hansen, a high school senior with Social Anxiety disorder and his journey of self-discovery and acceptance following the suicide of a fellow classmate.",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
The Suicide Squad,2021,7.3,72,210241,"Action, Adventure, Comedy","Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese.",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Halloween Kills,2021,7.7,47,679,"Crime, Horror, Thriller",The saga of Michael Myers and Laurie Strode continues in the next thrilling chapter of the Halloween series.,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Cruella,2021,7.4,59,163090,"Adventure, Comedy, Crime",A live-action prequel feature film following a young Cruella de Vil.,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
The Last Duel,2021,7.5,61,466,"Drama, History",King Charles VI declares that Knight Jean de Carrouges settle his dispute with his squire by challenging him to a duel.,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
The Voyeurs,2021,5.9,54,7955,"Drama, Mystery, Thriller","Pippa and Thomas move into their dream apartment, they notice that their windows look directly into the apartment opposite, this will set in motion a chain of events that will lead to disaster.",0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
Spencer,2021,6.4,85,717,"Biography, Drama, Romance","During her Christmas holidays with the royal family at the Sandringham estate in Norfolk, England, Diana decides to leave her marriage to Prince Charles.",0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Nightbooks,2021,5.8,65,4346,"Family, Fantasy, Horror","Follows Alex, a boy obsessed with scary stories who is imprisoned by an evil young witch in her contemporary New York City apartment.",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
The Guilty,2021,6.2,63,5840,"Crime, Drama, Thriller",A demoted police officer assigned to a call dispatch desk is conflicted when he receives an emergency phone call from a kidnapped woman.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
Everybody's Talking About Jamie,2021,6.2,62,3817,"Biography, Comedy, Drama","Feature film adaptation of the musical about a teenager from Sheffield, England who wants to be a drag queen.",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
Black Widow,2021,6.8,67,223441,"Action, Adventure, Sci-Fi",Natasha Romanoff confronts the darker parts of her ledger when a dangerous conspiracy with ties to her past arises.,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Card Counter,2021,6.4,78,4751,"Action, Crime, Drama","Redemption is the long game in Paul Schrader's THE CARD COUNTER. Told with Schrader's trademark cinematic intensity, the revenge thriller tells the story of an ex-military interrogator turned gambler haunted by the ghosts of his past.",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Green Knight,2021,6.6,85,47364,"Adventure, Drama, Fantasy",A fantasy retelling of the medieval story of Sir Gawain and the Green Knight.,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Copshop,2021,6.7,61,2346,"Action, Crime, Thriller","On the run from a lethal assassin, a wily con artist devises a scheme to hide out inside a small-town police station-but when the hitman turns up at the precinct, an unsuspecting rookie cop finds herself caught in the crosshairs.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
F9,2021,5.2,58,93046,"Action, Adventure, Crime",Dom and the crew must take on an international terrorist who turns out to be Dom and Mia's estranged brother.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Gunpowder Milkshake,2021,6.0,47,28849,"Action, Crime, Thriller",Three generations of women fight back against those who could take everything from them.,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
The Starling,2021,6.3,32,3031,"Comedy, Drama","After Lilly suffers a loss, a combative Starling takes nest beside her quiet home. The feisty bird taunts and attacks the grief-stricken Lilly. On her journey to expel the Starling, she rediscovers her will to live and capacity for love.",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Reminiscence,2021,5.9,46,33837,"Mystery, Romance, Sci-Fi","Nick Bannister, a private investigator of the mind, navigates the alluring world of the past when his life is changed by new client Mae. A simple case becomes an obsession after she disappears and he fights to learn the truth about her.",0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Don't Breathe 2,2021,6.1,46,24927,"Action, Drama, Horror","The sequel is set in the years following the initial deadly home invasion, where Norman Nordstrom (Stephen Lang) lives in quiet solace until his past sins catch up to him.",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
The Eyes of Tammy Faye,2021,7.1,54,1304,"Biography, Drama, History","An intimate look at the extraordinary rise, fall and redemption of televangelist Tammy Faye Bakker.",0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
The French Dispatch,2021,7.2,82,856,"Comedy, Drama, Romance","A love letter to journalists set in an outpost of an American newspaper in a fictional twentieth century French city that brings to life a collection of stories published in ""The French Dispatch Magazine"".",0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
Last Night in Soho,2021,7.3,67,635,"Drama, Horror, Mystery",An aspiring fashion designer is mysteriously able to enter the 1960s where she encounters a dazzling wannabe singer. But the glamour is not all it appears to be and the dreams of the past start to crack and splinter into something darker.,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Escape Room: Tournament of Champions,2021,5.8,48,20164,"Action, Adventure, Horror","Six people unwillingly find themselves locked in another series of escape rooms, slowly uncovering what they have in common to survive. Joining forces with two of the original survivors, they soon discover they've all played the game before.",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Venom,2018,6.7,35,404249,"Action, Adventure, Sci-Fi","A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jungle Cruise,2021,6.6,50,105917,"Action, Adventure, Comedy",Based on Disneyland's theme park ride where a small riverboat takes a group of travelers through a jungle filled with dangerous animals and reptiles but with a supernatural element.,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Once Upon a Time... in Hollywood,2019,7.6,83,638729,"Comedy, Drama",A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
The Power of the Dog,2021,6.5,91,2003,"Drama, Romance, Western","Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Knives Out,2019,7.9,82,529336,"Comedy, Crime, Drama","A detective investigates the death of a patriarch of an eccentric, combative family.",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Mortal Kombat,2021,6.1,44,141909,"Action, Adventure, Fantasy",MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Avengers: Endgame,2019,8.4,78,940918,"Action, Adventure, Drama","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Midsommar,2019,7.1,72,253346,"Drama, Horror, Mystery",A couple travels to Scandinavia to visit a rural hometown's fabled Swedish mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult.,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Wrath of Man,2021,7.2,57,113209,"Action, Crime, Thriller","The plot follows H, a cold and mysterious character working at a cash truck company responsible for moving hundreds of millions of dollars around Los Angeles each week.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tenet,2020,7.4,69,422425,"Action, Sci-Fi, Thriller","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
The Protégé,2021,6.1,48,11597,"Action, Crime, Thriller","Rescued as a child by the legendary assassin Moody, Anna is the world's most skilled contract killer. However, when Moody is brutally killed, she vows revenge for the man who taught her everything she knows.",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
